,,,,,Coppa Front Bar,,Coppa Cellar,,Coppa Corridor,,Coppa Cage,,Sub Totals,,Events Front Bar,,Events Cellar,,Events Cage,,Events Back Room,,Events Pantry,,Events Blue Cupboard,,Sub Totals,,Cafe Front Bar,,Room 1,,Sub Totals,,Lobster Front Bar,,Lobster Shed,,Sub Totals,,Totals,
Stock Type,Category,Sub Category,Pack Volume,Brand ,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles
317090,Cocktail mixes,Syrups,1 x 70cl [1],Monin Gomme Syrup,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6975423,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Honey - Syrup,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
252574,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Pina Colada Syrup,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
390562,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Spritz - Orange,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
388463,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Sugar Syrup - Muscovado,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2332706,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Almond,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
988622,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Caramel,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
674299,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Chai Tea,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2748429,Cocktail mixes,Syrups,1 x 70 cl  [1],Monin Syrup - Cinnamon,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
503590,Cocktail mixes,Syrups,1 x 100 cl [1],Monin Syrup - Creme Brulee,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6178931,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Gingerbread,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2718343,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Green Mint,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6239991,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Hazelnut,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2446488,Cocktail mixes,Syrups,1 x 70 cl  [1],Monin Syrup - Peach,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
205208,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Pear,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1771369,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Pink Grapefruit,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2446492,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Red Berry,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
205240,Cocktail mixes,Syrups,1 x 70 cl [1],Monin Syrup - Vanilla,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
205229,Cocktail mixes,Syrups,6 x 1ltr [6],Tangled Roots,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2498125,Draught,Beer - Draught,6.6 x 1 gal [6.6],Beavertown Beer - 4.3% - Neck Oil,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Draught,Beer - Draught,1 x 11 x gal (50ltr) [11],Guinness Stout - 4.10% - Red Band - Draught,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1875431,Draught,Beer - Draught,6.6 x 1 Gallon [6.6],Guinness Stout - Blackguard,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1875440,Draught,Beer - Draught,11 x 1 gal,lime,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1875450,Draught,Beer - Draught,4.4 x 1 gal [4.4],Hoegaarden Beer - Keg,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1875453,Draught,Beer - Draught,11 x 1 gal,Peroni Draught Beer : 5.10%,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6697490,Draught,Beer - Draught,6.6 x 1 gal (30 ltr),PERONI LAGER 30L KEG,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Draught,Beer - Draught,11 x 1 Gallon [11],Renegade Craft Lager - 4.1%,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
273280,Draught,Beer - Draught,6.6 x 1 gal (30 ltr),Tiny Rebel Easy Livin' : Session Ale : Pale : Keg,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2181417,Draught,Beer - Draught,9 x 1 Gallon [9],West Berkshire Brewery Bitter - Good Old Boy,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Draught,Beer & Ale,11 x 1 gal [11],Beer - Birra Moretti - Draught,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Draught,Cider - Draft,11 x 1 Gallon [11],Aspall Cyder - Orange Cap,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Draught,Pimms,1 x 11gal (50ltr) [11],Pimms Pimms - 5.4%,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
7029531,Fruit & Hebs,Fruit,1 x 1 each [1],Cucumber - Large,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
3081192,Fruit & Hebs,Fruit,1 each [1],LEMONS - ***Lemons to be counted on this line***,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Fruit & Hebs,Fruit,1 x 1 kg [1],Lime,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
374690,Fruit & Hebs,Fruit,4 x 1 each [4],Orange - Large,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1677821,Fruit & Hebs,Fruit,48 x 1 each [48],Passionfruit,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
7029537,Fruit & Hebs,Fruit,1 x 125g [1],Raspberries,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1083170,Fruit & Hebs,Fruit,1 x 400 g [1],Strawberries,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
272027,Fruit & Hebs,Herbs,1 x 100g [1],Mint,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
7343583,Fruit & Hebs,Herbs,1 x 100 g [1],Rosemary,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
5589427,Hot drinks,Coffee - Beans,10 x 1 kg [10],Beans - Musetti 202,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
362140,Hot drinks,Coffee - Beans,10 x 1 kg [10],Musetti Coffee Beans - DEK (Decaf),,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
5433794,Hot drinks,Coffee - Filter,100 x 85 g [100],202 - Filter Coffee,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Hot drinks,Coffee - Filter,24 x 250 g [24],Musetti Dek Tin - Espresso,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
252511,Hot drinks,Coffee - Filter,24 x 250 g [24],Musetti Dek Tins - Filter Coffee,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1792472,Hot drinks,Hot chocolate,6 x 50 x 1 each [300],Musetti - Choc-issimo - Sachets,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
8338397,Hot drinks,Tea - Speciality,6 x 20 each [6],Earl Grey,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
791164,Hot drinks,Tea - Speciality,6 x 20 x 1 each [120],Harneys Green Tea with Citrus - Organic - Silk Bag,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
217063,Hot drinks,Tea - Speciality,6 x 20 x 1 Box [120],Harneys Hot Cinnamon Spice - Tea Bags,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
469857,Hot drinks,Tea - Speciality,6 x 20 each [6],Harneys Premium Darjeeling,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1846752,Hot drinks,Tea - Speciality,6 x 20 each [6],Harneys Premium Decaffeinated Ceylon,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
252532,Hot drinks,Tea - Speciality,6 x 20 each [6],Harneys Premium Egyptian Chamomile,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
